MAKE,MODEL,PROFIT_LOSS,SALES_STATUS
Mercedes-Benz,G-Class,-87750,Loss
Mercedes-Benz,M-Class,-50500,Loss
Chevrolet,Tahoe,-44200,Loss
Chevrolet,Corvette Stingray,-41900,Loss
BMW,M5,-41000,Loss
Chevrolet,Corvette Stingray,-38100,Loss
Mercedes-Benz,SL-Class,-37900,Loss
Land Rover,Range Rover,-37000,Loss
Jaguar,XJ,-37000,Loss
GMC,Yukon,-36500,Loss
Lexus,LX 570,-33800,Loss
Ford,Fusion,-33600,Loss
,,-33500,Loss
,,-33250,Loss
Ford,F-250 Super Duty,-32400,Loss
Mercedes-Benz,E-Class,-32000,Loss
Bentley,Continental GT,-31500,Loss
Chrysler,300,-31200,Loss
Mercedes-Benz,E-Class,-29600,Loss
GMC,Yukon,-29300,Loss
Chevrolet,Silverado 1500,-28950,Loss
Ram,1500,-28900,Loss
BMW,5 Series,-28600,Loss
Chevrolet,Suburban,-28200,Loss
GMC,Sierra 1500,-28000,Loss
Chevrolet,Malibu,-27900,Loss
Chevrolet,Tahoe,-27800,Loss
BMW,5 Series Gran Turismo,-27700,Loss
Land Rover,Range Rover,-27500,Loss
Nissan,Armada,-27300,Loss
Ford,Fusion,-27200,Loss
BMW,X6,-27150,Loss
,,-27000,Loss
Ford,F-150,-27000,Loss
Ford,F-150,-26600,Loss
Ford,F-150,-26600,Loss
Dodge,Ram Pickup 3500,-26500,Loss
Ford,Expedition,-26300,Loss
Ford,F-150,-26000,Loss
Ford,F-150,-26000,Loss
Chevrolet,Tahoe,-25700,Loss
Chevrolet,Uplander,-25600,Loss
Ford,F-350 Super Duty,-25500,Loss
Lincoln,MKX,-25500,Loss
Ford,Fusion,-25400,Loss
Dodge,Challenger,-25200,Loss
,,-25100,Loss
Bentley,Continental GTC,-25000,Loss
Ford,F-150,-25000,Loss
Honda,Pilot,-25000,Loss
Toyota,Highlander,-24500,Loss
Hyundai,Genesis,-24500,Loss
Mercedes-Benz,GL-Class,-24400,Loss
Ford,F-350 Super Duty,-24400,Loss
Ford,Explorer,-24200,Loss
Dodge,Ram Pickup 2500,-24100,Loss
Chevrolet,Corvette Stingray,-24050,Loss
Mercedes-Benz,S-Class,-24000,Loss
Bentley,Continental GTC,-24000,Loss
Ford,Escape,-23850,Loss
,,-23850,Loss
BMW,M6,-23500,Loss
Mercedes-Benz,S-Class,-23300,Loss
Chevrolet,Silverado 1500,-23200,Loss
Nissan,370Z,-23200,Loss
Ford,F-150,-23200,Loss
Ford,F-150,-23000,Loss
Buick,Enclave,-22900,Loss
Dodge,Charger,-22800,Loss
Mercedes-Benz,CLK-Class,-22700,Loss
Kia,Cadenza,-22700,Loss
Nissan,Frontier,-22600,Loss
Ford,Escape,-22600,Loss
Chevrolet,Suburban,-22500,Loss
Land Rover,Range Rover Sport,-22500,Loss
,,-22450,Loss
Chevrolet,Suburban,-22400,Loss
Hyundai,Genesis,-22400,Loss
Mercedes-Benz,GL-Class,-22300,Loss
Ford,Expedition,-22200,Loss
BMW,X5,-22050,Loss
Nissan,Pathfinder,-22000,Loss
Ford,Focus,-22000,Loss
Land Rover,Range Rover,-22000,Loss
Lincoln,MKZ,-22000,Loss
Mercedes-Benz,GL-Class,-21900,Loss
Ford,Escape,-21800,Loss
Ford,Explorer,-21700,Loss
Porsche,Cayenne,-21500,Loss
Mercedes-Benz,E-Class,-21500,Loss
Ford,Fiesta,-21450,Loss
Chevrolet,Tahoe,-21300,Loss
Ford,F-150,-21200,Loss
Mercedes-Benz,CLA-Class,-21150,Loss
GMC,Yukon,-21100,Loss
Ford,Focus,-21000,Loss
Plymouth,Prowler,-21000,Loss
Maserati,GranTurismo,-21000,Loss
Audi,R8,-21000,Loss
Ford,F-150,-20800,Loss
Ford,Expedition,-20800,Loss
Ford,E-Series Van,-20799,Loss
Ford,Edge,-20700,Loss
Ford,Taurus,-20700,Loss
Buick,Enclave,-20700,Loss
Ford,F-150,-20700,Loss
Ford,Explorer,-20600,Loss
Mercedes-Benz,GL-Class,-20500,Loss
Mercedes-Benz,CLA-Class,-20400,Loss
Toyota,Tundra,-20300,Loss
Dodge,Ram Pickup 1500,-20300,Loss
Ford,Explorer,-20200,Loss
Ford,Expedition,-20100,Loss
Chevrolet,Camaro,-20100,Loss
Toyota,Tundra,-20100,Loss
Cadillac,CTS-V,-20000,Loss
Mercedes-Benz,S-Class,-20000,Loss
BMW,5 Series,-19900,Loss
Chevrolet,Tahoe,-19900,Loss
Ford,Expedition,-19800,Loss
Mercedes-Benz,GL-Class,-19750,Loss
Ford,Expedition,-19700,Loss
Nissan,Armada,-19700,Loss
Chevrolet,Suburban,-19600,Loss
Cadillac,SRX,-19600,Loss
Infiniti,QX70,-19500,Loss
Chevrolet,Tahoe,-19500,Loss
Toyota,Sequoia,-19400,Loss
Ford,Expedition,-19400,Loss
Chevrolet,Traverse,-19350,Loss
Toyota,Tacoma,-19300,Loss
Nissan,Murano CrossCabriolet,-19150,Loss
Ford,Escape,-19100,Loss
Ford,Explorer,-19100,Loss
Ford,Explorer,-19000,Loss
Rolls-Royce,Ghost,-19000,Loss
Audi,R8,-19000,Loss
Ferrari,California,-19000,Loss
Mercedes-Benz,E-Class,-18900,Loss
Mercedes-Benz,GL-Class,-18900,Loss
Chevrolet,Silverado 3500HD,-18850,Loss
BMW,X5,-18750,Loss
Ram,1500,-18700,Loss
Cadillac,XTS,-18600,Loss
Ford,Explorer,-18600,Loss
Mercedes-Benz,C-Class,-18500,Loss
Bentley,Continental GTC,-18500,Loss
BMW,X3,-18500,Loss
Jaguar,XJ,-18500,Loss
Ram,3500,-18300,Loss
Ford,F-150,-18300,Loss
Chrysler,Town and Country,-18200,Loss
Chevrolet,Suburban,-18200,Loss
Chevrolet,Tahoe,-18150,Loss
Ford,F-150,-18100,Loss
Subaru,Outback,-18100,Loss
Lexus,LS 460,-18100,Loss
Chevrolet,Silverado 1500,-18000,Loss
Chevrolet,Aveo,-18000,Loss
Ford,Mustang,-18000,Loss
,,-18000,Loss
BMW,3 Series,-18000,Loss
BMW,3 Series,-17950,Loss
Chevrolet,Traverse,-17900,Loss
Ford,Edge,-17750,Loss
Jeep,Wrangler,-17700,Loss
BMW,7 Series,-17700,Loss
Infiniti,FX,-17700,Loss
Hyundai,Elantra,-17600,Loss
Chevrolet,Camaro,-17550,Loss
Ram,1500,-17500,Loss
Nissan,Armada,-17500,Loss
Subaru,Impreza,-17400,Loss
Ford,F-150,-17400,Loss
BMW,5 Series,-17400,Loss
Ford,Fusion,-17400,Loss
Ford,Flex,-17400,Loss
Jeep,Wrangler,-17400,Loss
Ford,Expedition,-17300,Loss
Land Rover,Range Rover Evoque,-17300,Loss
Chrysler,Town and Country,-17300,Loss
Mercedes-Benz,C-Class,-17200,Loss
Ford,Explorer,-17200,Loss
Hyundai,Genesis,-17200,Loss
Ford,Focus,-17200,Loss
Nissan,Pathfinder,-17100,Loss
Chevrolet,Impala,-17100,Loss
Ford,Explorer,-17100,Loss
Chevrolet,Suburban,-17100,Loss
Chevrolet,Tahoe,-17100,Loss
Subaru,XV Crosstrek,-17100,Loss
Chevrolet,Silverado 1500,-17100,Loss
Ford,Explorer,-17100,Loss
Kia,Optima,-17050,Loss
Bentley,Continental GTC,-17000,Loss
Mercedes-Benz,C-Class,-17000,Loss
Mercedes-Benz,GLK-Class,-17000,Loss
Nissan,Armada,-17000,Loss
BMW,7 Series,-17000,Loss
Ford,Flex,-17000,Loss
Chevrolet,Tahoe,-16950,Loss
Cadillac,XLR,-16900,Loss
Toyota,Highlander,-16900,Loss
Chevrolet,Volt,-16900,Loss
BMW,5 Series,-16800,Loss
Ford,Mustang,-16800,Loss
Chevrolet,Silverado 1500,-16800,Loss
Ford,F-150,-16800,Loss
Ford,Fusion,-16800,Loss
Chevrolet,Tahoe,-16800,Loss
Ford,Transit Connect,-16750,Loss
Dodge,Grand Caravan,-16700,Loss
Chevrolet,Suburban,-16700,Loss
Ford,Explorer,-16700,Loss
Mercedes-Benz,M-Class,-16700,Loss
Ford,Explorer,-16600,Loss
Ram,1500,-16600,Loss
GMC,Yukon,-16600,Loss
Chevrolet,Impala,-16550,Loss
Dodge,Journey,-16550,Loss
Dodge,Charger,-16500,Loss
GMC,Yukon XL,-16500,Loss
Ford,Taurus,-16500,Loss
Land Rover,LR4,-16500,Loss
Ford,F-150,-16500,Loss
Toyota,FJ Cruiser,-16400,Loss
BMW,X5,-16400,Loss
Volkswagen,Touareg,-16400,Loss
Lexus,GX 460,-16400,Loss
Acura,TL,-16350,Loss
BMW,6 Series,-16350,Loss
Toyota,RAV4,-16350,Loss
Ford,Fusion Hybrid,-16300,Loss
BMW,3 Series,-16300,Loss
Ford,Edge,-16300,Loss
Infiniti,QX,-16300,Loss
Ford,Explorer,-16200,Loss
Chevrolet,Traverse,-16200,Loss
Toyota,Tacoma,-16200,Loss
Ford,E-Series Wagon,-16150,Loss
Ford,F-150,-16100,Loss
Ford,Fiesta,-16100,Loss
BMW,X5,-16100,Loss
Ford,F-150,-16000,Loss
Jeep,Wrangler,-16000,Loss
Porsche,911,-16000,Loss
Nissan,GT-R,-16000,Loss
Mercedes-Benz,G-Class,-16000,Loss
Nissan,Maxima,-15950,Loss
Ford,E-Series Wagon,-15900,Loss
Ford,Fusion,-15900,Loss
BMW,6 Series,-15900,Loss
Jeep,Wrangler,-15900,Loss
Ford,F-250 Super Duty,-15900,Loss
Chevrolet,Silverado 1500,-15900,Loss
Chevrolet,Impala,-15800,Loss
Buick,Regal,-15800,Loss
Ford,Explorer,-15800,Loss
Ford,Explorer,-15800,Loss
Toyota,RAV4,-15800,Loss
Ford,F-150,-15800,Loss
Ford,Explorer,-15800,Loss
Chevrolet,Malibu,-15750,Loss
Ford,Explorer,-15700,Loss
Mercedes-Benz,C-Class,-15700,Loss
Nissan,Maxima,-15700,Loss
Toyota,Tacoma,-15700,Loss
Ford,F-250 Super Duty,-15700,Loss
BMW,7 Series,-15650,Loss
Dodge,Viper,-15650,Loss
Dodge,Challenger,-15650,Loss
Nissan,Pathfinder,-15600,Loss
Chrysler,300,-15600,Loss
Ford,F-150,-15600,Loss
Ford,F-150,-15600,Loss
Ford,E-Series Wagon,-15600,Loss
Mercedes-Benz,GLK-Class,-15600,Loss
Land Rover,Range Rover,-15500,Loss
MINI,Cooper Countryman,-15500,Loss
Land Rover,Range Rover,-15500,Loss
Ford,Taurus,-15500,Loss
Honda,Pilot,-15500,Loss
Toyota,Highlander,-15500,Loss
Hyundai,Sonata Hybrid,-15450,Loss
Nissan,Pathfinder,-15400,Loss
Ford,F-250 Super Duty,-15400,Loss
Lincoln,Navigator,-15400,Loss
Chevrolet,Traverse,-15400,Loss
Chevrolet,Express Cargo,-15400,Loss
Chevrolet,Silverado 3500HD,-15400,Loss
,,-15400,Loss
Ford,F-150,-15400,Loss
Mercedes-Benz,E-Class,-15400,Loss
Ford,Expedition,-15400,Loss
Nissan,Pathfinder,-15400,Loss
Nissan,370Z,-15400,Loss
BMW,5 Series,-15350,Loss
Ford,Explorer,-15300,Loss
Chevrolet,Silverado 2500HD,-15300,Loss
Chevrolet,Silverado 1500,-15300,Loss
Dodge,Dart,-15250,Loss
Ford,Explorer,-15200,Loss
Ford,F-150,-15200,Loss
Mercedes-Benz,S-Class,-15200,Loss
,,-15200,Loss
BMW,X5,-15150,Loss
Chevrolet,Silverado 1500,-15100,Loss
Honda,Odyssey,-15100,Loss
Jeep,Grand Cherokee,-15100,Loss
Ford,Taurus,-15100,Loss
Cadillac,Escalade ESV,-15100,Loss
BMW,7 Series,-15100,Loss
Chevrolet,Tahoe,-15100,Loss
Honda,Odyssey,-15100,Loss
Buick,Regal,-15000,Loss
Ford,F-150,-15000,Loss
Ford,F-150,-15000,Loss
Mercedes-Benz,S-Class,-15000,Loss
Kia,Optima,-15000,Loss
Land Rover,Range Rover,-15000,Loss
Honda,Odyssey,-14900,Loss
Lexus,ES 350,-14900,Loss
Chevrolet,Silverado 1500,-14900,Loss
Ford,Expedition,-14900,Loss
Ford,E-Series Van,-14900,Loss
Nissan,Murano,-14900,Loss
BMW,3 Series,-14850,Loss
Porsche,Cayenne,-14850,Loss
Chevrolet,Express Cargo,-14850,Loss
BMW,3 Series,-14800,Loss
Ford,Taurus,-14800,Loss
Infiniti,JX,-14800,Loss
Chrysler,Town and Country,-14800,Loss
Mercedes-Benz,CL-Class,-14800,Loss
Land Rover,Range Rover Sport,-14700,Loss
Hyundai,Sonata Hybrid,-14700,Loss
BMW,X6 M,-14700,Loss
Toyota,RAV4,-14700,Loss
Toyota,Land Cruiser,-14700,Loss
Jeep,Compass,-14700,Loss
Chevrolet,Malibu,-14650,Loss
Jeep,Wrangler,-14600,Loss
Chevrolet,Impala,-14600,Loss
Chevrolet,Silverado 1500,-14600,Loss
Mercedes-Benz,CLS-Class,-14600,Loss
Chevrolet,Impala,-14600,Loss
Ford,Fusion,-14600,Loss
Dodge,Charger,-14550,Loss
GMC,Terrain,-14500,Loss
Ford,F-250 Super Duty,-14500,Loss
Ford,Focus,-14500,Loss
Chevrolet,Corvette,-14500,Loss
Nissan,Rogue Select,-14400,Loss
BMW,5 Series,-14400,Loss
Ford,F-150,-14400,Loss
Jeep,Cherokee,-14400,Loss
Ford,Explorer,-14400,Loss
Infiniti,G37,-14350,Loss
Dodge,Durango,-14300,Loss
Honda,Pilot,-14300,Loss
Audi,A5,-14300,Loss
Chevrolet,Equinox,-14300,Loss
Hyundai,Elantra GT,-14300,Loss
Ford,Escape,-14250,Loss
Nissan,Xterra,-14200,Loss
Ford,Explorer,-14200,Loss
Ford,Explorer,-14200,Loss
Chevrolet,Impala,-14200,Loss
Audi,A4,-14200,Loss
Chrysler,Town and Country,-14200,Loss
Lexus,GS 350,-14200,Loss
Ram,3500,-14200,Loss
Kia,Optima,-14150,Loss
Ford,Fusion Hybrid,-14100,Loss
Mercedes-Benz,C-Class,-14100,Loss
Ford,F-150,-14100,Loss
Cadillac,SRX,-14100,Loss
Dodge,Charger,-14100,Loss
Ford,Fusion Hybrid,-14100,Loss
Ford,Explorer Sport Trac,-14100,Loss
Honda,Pilot,-14100,Loss
Honda,Pilot,-14100,Loss
Ford,F-150,-14100,Loss
Chevrolet,Camaro,-14100,Loss
Kia,Optima,-14050,Loss
Nissan,Murano,-14050,Loss
GMC,Sierra 1500,-14050,Loss
Ford,Fusion Energi,-14000,Loss
Ford,Ranger,-14000,Loss
Mercedes-Benz,G-Class,-14000,Loss
Ram,1500,-14000,Loss
Mercedes-Benz,S-Class,-14000,Loss
Chevrolet,Impala,-14000,Loss
Ford,F-150,-14000,Loss
Lexus,RX 350,-14000,Loss
Ford,Expedition,-14000,Loss
Bentley,Continental Supersports,-14000,Loss
Hyundai,Santa Fe Sport,-13950,Loss
Hyundai,Genesis,-13900,Loss
Ford,F-150,-13900,Loss
Hyundai,Sonata,-13850,Loss
Kia,Optima,-13850,Loss
Chevrolet,Traverse,-13800,Loss
Volkswagen,Passat,-13800,Loss
Dodge,Ram Pickup 3500,-13800,Loss
Chevrolet,Tahoe,-13800,Loss
Chevrolet,Suburban,-13800,Loss
Chevrolet,Silverado 3500HD,-13800,Loss
Audi,A4,-13800,Loss
Ford,F-150,-13800,Loss
Dodge,Charger,-13800,Loss
Ford,Explorer,-13800,Loss
Cadillac,Escalade ESV,-13800,Loss
Ford,Fusion,-13750,Loss
Dodge,Grand Caravan,-13750,Loss
Chevrolet,Tahoe,-13750,Loss
Chevrolet,Equinox,-13700,Loss
Ford,Fusion,-13700,Loss
Mercedes-Benz,C-Class,-13700,Loss
Chevrolet,Traverse,-13700,Loss
Hyundai,Santa Fe Sport,-13650,Loss
Mercedes-Benz,C-Class,-13600,Loss
Ford,F-150,-13600,Loss
Jeep,Cherokee,-13600,Loss
Hyundai,Genesis,-13600,Loss
Dodge,Grand Caravan,-13600,Loss
Infiniti,G35,-13600,Loss
Ford,Explorer,-13600,Loss
Honda,Odyssey,-13600,Loss
Ford,F-350 Super Duty,-13600,Loss
Acura,MDX,-13500,Loss
Mercedes-Benz,M-Class,-13500,Loss
Ford,Expedition,-13500,Loss
Mazda,CX-5,-13500,Loss
Honda,Odyssey,-13500,Loss
Ford,Edge,-13500,Loss
Ford,F-150,-13450,Loss
Ford,Mustang,-13450,Loss
Ford,Explorer,-13400,Loss
Toyota,RAV4,-13400,Loss
Subaru,Legacy,-13400,Loss
Buick,LaCrosse,-13400,Loss
Ford,Explorer,-13400,Loss
Ford,Mustang,-13400,Loss
Infiniti,Q50,-13300,Loss
Chrysler,300,-13300,Loss
Toyota,Sienna,-13300,Loss
Ford,Escape,-13300,Loss
Dodge,Durango,-13300,Loss
Toyota,Highlander,-13300,Loss
,,-13300,Loss
Chevrolet,Camaro,-13250,Loss
Dodge,Charger,-13250,Loss
Chevrolet,Captiva Sport,-13250,Loss
Chevrolet,Malibu,-13200,Loss
Ford,Expedition,-13200,Loss
Ford,Explorer,-13200,Loss
Nissan,Maxima,-13150,Loss
Mazda,Mazda3,-13150,Loss
Dodge,Avenger,-13150,Loss
BMW,Z4,-13150,Loss
Ford,Expedition,-13100,Loss
Infiniti,QX70,-13100,Loss
Mercedes-Benz,M-Class,-13100,Loss
Hyundai,Equus,-13100,Loss
Jeep,Wrangler,-13100,Loss
Jeep,Grand Cherokee,-13100,Loss
Ford,Escape,-13100,Loss
Ford,Explorer,-13100,Loss
Chevrolet,Suburban,-13100,Loss
Ford,Edge,-13100,Loss
Maserati,Quattroporte,-13050,Loss
Infiniti,FX,-13000,Loss
Audi,S8,-13000,Loss
Toyota,Highlander,-13000,Loss
Dodge,Ram Pickup 1500,-13000,Loss
Nissan,Pathfinder,-13000,Loss
BMW,Z4,-13000,Loss
Ford,Focus,-13000,Loss
Ford,Flex,-13000,Loss
Ford,Mustang,-13000,Loss
Nissan,Murano CrossCabriolet,-12950,Loss
Nissan,Juke,-12950,Loss
Ford,Edge,-12900,Loss
Ford,Expedition,-12900,Loss
Nissan,Armada,-12900,Loss
BMW,X5 M,-12900,Loss
GMC,Yukon XL,-12900,Loss
BMW,M5,-12900,Loss
Chevrolet,Camaro,-12900,Loss
Ford,Fusion Hybrid,-12900,Loss
Ford,F-250 Super Duty,-12900,Loss
Chevrolet,Malibu,-12900,Loss
Ford,Focus,-12900,Loss
Ford,Fusion,-12900,Loss
Mercedes-Benz,E-Class,-12900,Loss
Bentley,Continental GT,-12900,Loss
Chevrolet,Malibu Hybrid,-12900,Loss
MINI,Cooper Countryman,-12900,Loss
Ford,Explorer,-12900,Loss
Mercedes-Benz,GL-Class,-12850,Loss
Chevrolet,Equinox,-12850,Loss
Buick,LaCrosse,-12800,Loss
BMW,3 Series,-12800,Loss
Mercedes-Benz,S-Class,-12800,Loss
Nissan,370Z,-12800,Loss
Chrysler,300,-12800,Loss
Chevrolet,Suburban,-12800,Loss
Ford,F-350 Super Duty,-12800,Loss
Chevrolet,Impala,-12800,Loss
Toyota,Highlander,-12800,Loss
BMW,X5,-12750,Loss
Bentley,Flying Spur,-12750,Loss
Ford,F-150,-12750,Loss
Nissan,Altima,-12750,Loss
Buick,LaCrosse,-12700,Loss
Ford,Explorer,-12700,Loss
Dodge,Journey,-12700,Loss
Ford,Fusion,-12700,Loss
Toyota,Camry,-12700,Loss
Ford,Fusion,-12700,Loss
Mercedes-Benz,E-Class,-12700,Loss
Mercedes-Benz,S-Class,-12700,Loss
Ford,Expedition,-12700,Loss
Ford,E-Series Wagon,-12700,Loss
Ford,F-150,-12600,Loss
Ford,F-250 Super Duty,-12600,Loss
Ford,Focus ST,-12600,Loss
lincoln,mkt,-12600,Loss
Dodge,Journey,-12600,Loss
Mitsubishi,Lancer Evolution,-12600,Loss
Chrysler,Town and Country,-12600,Loss
Dodge,Durango,-12600,Loss
Chrysler,200,-12550,Loss
Ford,Fusion,-12550,Loss
Dodge,Charger,-12500,Loss
Land Rover,Range Rover,-12500,Loss
Ford,Expedition,-12500,Loss
Jeep,Grand Cherokee,-12500,Loss
Nissan,Titan,-12500,Loss
Kia,Soul,-12500,Loss
Dodge,Ram Pickup 2500,-12500,Loss
Chevrolet,Silverado 1500,-12500,Loss
Mercedes-Benz,S-Class,-12500,Loss
BMW,3 Series,-12500,Loss
Jeep,Wrangler,-12450,Loss
Nissan,GT-R,-12400,Loss
Nissan,Murano,-12400,Loss
Chevrolet,Tahoe,-12400,Loss
Ford,Taurus,-12400,Loss
ford,e350,-12400,Loss
Ford,Edge,-12400,Loss
Ford,Explorer,-12400,Loss
Dodge,Durango,-12400,Loss
Chevrolet,Suburban,-12400,Loss
Ford,F-150,-12400,Loss
Ford,Focus,-12350,Loss
Nissan,Murano,-12350,Loss
Dodge,Challenger,-12350,Loss
Chevrolet,Equinox,-12350,Loss
Lexus,LS 460,-12300,Loss
BMW,5 Series,-12300,Loss
,,-12300,Loss
Toyota,Camry,-12300,Loss
Chevrolet,Captiva Sport,-12300,Loss
MINI,Cooper Clubman,-12300,Loss
Ford,F-150,-12300,Loss
Ford,Explorer,-12300,Loss
Ford,Fusion,-12300,Loss
Chevrolet,Equinox,-12300,Loss
Ford,Expedition,-12300,Loss
Ford,Edge,-12300,Loss
Hyundai,Genesis,-12250,Loss
Chevrolet,Impala,-12250,Loss
Chevrolet,Captiva Sport,-12250,Loss
Dodge,Journey,-12250,Loss
Ford,Taurus,-12200,Loss
Cadillac,SRX,-12200,Loss
Kia,Sorento,-12200,Loss
Ford,Escape,-12200,Loss
Dodge,Charger,-12200,Loss
Land Rover,Range Rover Sport,-12200,Loss
Ford,F-450 Super Duty,-12200,Loss
Ford,Edge,-12200,Loss
BMW,X5,-12200,Loss
BMW,5 Series,-12200,Loss
Nissan,Frontier,-12200,Loss
Chevrolet,Tahoe,-12150,Loss
GMC,Yukon,-12150,Loss
Chevrolet,Cobalt,-12150,Loss
Chevrolet,Silverado 1500,-12150,Loss
Ford,Explorer,-12100,Loss
Chevrolet,Suburban,-12100,Loss
Chevrolet,Traverse,-12100,Loss
Hyundai,Sonata,-12100,Loss
Infiniti,Q50,-12100,Loss
Ford,Flex,-12100,Loss
Hyundai,Tucson,-12100,Loss
Toyota,Camry,-12100,Loss
Ford,F-150,-12100,Loss
Dodge,Avenger,-12100,Loss
Chevrolet,Impala,-12100,Loss
Honda,Pilot,-12100,Loss
Jeep,Grand Cherokee,-12100,Loss
Jaguar,XJ,-12099,Loss
Ram,2500,-12000,Loss
Ford,F-350 Super Duty,-12000,Loss
Dodge,Charger,-12000,Loss
BMW,i8,-12000,Loss
Ford,Expedition,-12000,Loss
BMW,6 Series,-12000,Loss
Nissan,Altima,-12000,Loss
Mercedes-Benz,G-Class,-12000,Loss
Nissan,Altima,-12000,Loss
Chevrolet,Impala,-12000,Loss
Ferrari,California,-12000,Loss
Chevrolet,Tahoe,-12000,Loss
Audi,A8,-12000,Loss
GMC,Envoy,-12000,Loss
Chevrolet,Camaro,-12000,Loss
Mercedes-Benz,GL-Class,-12000,Loss
Mercedes-Benz,CLS-Class,-12000,Loss
Cadillac,Escalade ESV,-12000,Loss
Audi,A8,-12000,Loss
Ford,F-350 Super Duty,-11950,Loss
Ford,Mustang,-11950,Loss
Ford,Explorer,-11900,Loss
Ford,Taurus,-11900,Loss
Chevrolet,Silverado 2500HD,-11900,Loss
Ford,F-250 Super Duty,-11900,Loss
Ram,2500,-11900,Loss
Chevrolet,Captiva Sport,-11900,Loss
Chrysler,Town and Country,-11900,Loss
Honda,Odyssey,-11900,Loss
Ford,Taurus,-11900,Loss
Mercedes-Benz,GLK-Class,-11900,Loss
Nissan,Armada,-11900,Loss
Ford,Fusion,-11850,Loss
Ford,Escape,-11850,Loss
Cadillac,CTS,-11850,Loss
Dodge,Charger,-11850,Loss
Ford,Escape,-11850,Loss
BMW,6 Series,-11800,Loss
Nissan,Murano,-11800,Loss
GMC,Sierra 1500,-11800,Loss
Chrysler,Town and Country,-11800,Loss
Chevrolet,Camaro,-11800,Loss
Mercedes-Benz,S-Class,-11800,Loss
Ford,Mustang,-11800,Loss
Ford,Explorer,-11800,Loss
Ford,Explorer,-11800,Loss
Chevrolet,Malibu,-11800,Loss
Hyundai,Equus,-11800,Loss
Buick,Enclave,-11800,Loss
Ram,1500,-11800,Loss
Mazda,Mazda3,-11800,Loss
Nissan,Juke,-11800,Loss
Buick,LaCrosse,-11750,Loss
Mercedes-Benz,C-Class,-11750,Loss
Dodge,Grand Caravan,-11750,Loss
Ford,Focus,-11750,Loss
Ford,Taurus,-11750,Loss
Ford,Transit Connect,-11750,Loss
Buick,LaCrosse,-11700,Loss
Chevrolet,Camaro,-11700,Loss
Ford,E-Series Wagon,-11700,Loss
Mercedes-Benz,C-Class,-11700,Loss
,,-11700,Loss
GMC,Terrain,-11700,Loss
Chevrolet,Tahoe,-11700,Loss
Dodge,Charger,-11700,Loss
Ford,F-350 Super Duty,-11700,Loss
Chevrolet,Equinox,-11700,Loss
Hyundai,Sonata,-11700,Loss
Ford,F-150,-11700,Loss
Hyundai,Elantra,-11650,Loss
Dodge,Ram Pickup 1500,-11650,Loss
MINI,Cooper Clubman,-11650,Loss
Chevrolet,Camaro,-11650,Loss
Toyota,Camry,-11650,Loss
Nissan,Murano,-11610,Loss
Chevrolet,Silverado 1500,-11600,Loss
Ford,Flex,-11600,Loss
Chevrolet,Express,-11600,Loss
Honda,Odyssey,-11600,Loss
Ford,Mustang,-11600,Loss
Toyota,Corolla,-11600,Loss
Ford,Edge,-11600,Loss
BMW,5 Series,-11600,Loss
Honda,Odyssey,-11600,Loss
Chrysler,Town and Country,-11600,Loss
Chevrolet,Impala,-11600,Loss
Lincoln,MKZ,-11600,Loss
Dodge,Dart,-11600,Loss
Ford,Explorer,-11600,Loss
Ford,Expedition,-11600,Loss
Jeep,Wrangler,-11600,Loss
BMW,X5,-11600,Loss
Jaguar,XF,-11600,Loss
Ram,3500,-11600,Loss
Ram,3500,-11600,Loss
Ford,Fusion Hybrid,-11600,Loss
Jeep,Compass,-11550,Loss
Ford,F-150,-11550,Loss
GMC,Sierra 1500,-11550,Loss
,,-11500,Loss
Ford,Flex,-11500,Loss
Honda,Civic,-11500,Loss
Chevrolet,Malibu,-11500,Loss
Ford,F-150,-11500,Loss
BMW,Z4,-11500,Loss
Dodge,Charger,-11500,Loss
Mercedes-Benz,SL-Class,-11500,Loss
Honda,Pilot,-11500,Loss
Porsche,911,-11500,Loss
Honda,Civic,-11500,Loss
Dodge,Durango,-11450,Loss
Ford,Fusion,-11450,Loss
Jeep,Wrangler,-11400,Loss
Mercedes-Benz,M-Class,-11400,Loss
Ford,Escape,-11400,Loss
Infiniti,QX80,-11400,Loss
Ford,Ranger,-11400,Loss
Ford,Explorer,-11400,Loss
Mercedes-Benz,E-Class,-11400,Loss
BMW,5 Series,-11400,Loss
Honda,Pilot,-11400,Loss
Chrysler,300,-11400,Loss
Ford,Focus,-11400,Loss
Ford,Fusion,-11400,Loss
Ford,Explorer,-11400,Loss
Nissan,Frontier,-11350,Loss
Nissan,Maxima,-11350,Loss
Ford,F-150,-11350,Loss
Nissan,Altima,-11350,Loss
Ford,Mustang,-11350,Loss
Chevrolet,TrailBlazer,-11350,Loss
Ford,Explorer,-11300,Loss
Ram,2500,-11300,Loss
Chrysler,200,-11300,Loss
Chevrolet,Avalanche,-11300,Loss
Jaguar,XK,-11300,Loss
Nissan,Pathfinder,-11300,Loss
Ford,Escape,-11300,Loss
Honda,Pilot,-11300,Loss
Chevrolet,Sonic,-11300,Loss
Ford,Focus,-11300,Loss
Ford,Mustang,-11300,Loss
Ford,F-350 Super Duty,-11300,Loss
Kia,Optima,-11300,Loss
Chevrolet,Equinox,-11300,Loss
Chrysler,300,-11300,Loss
Kia,Optima,-11300,Loss
Chrysler,300,-11300,Loss
