MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,ILX,32387,1900000
Acura,ILX,32448,1829100
Acura,ILX,32451,1900050
Acura,ILX,32835,1779150
Acura,ILX,32992,1528450
Acura,ILX,33496,1699350
Acura,ILX,34232,1790600
Acura,ILX,34829,1760050
Acura,ILX,36173,1931050
Acura,ILX,36451,1699900
Acura,ILX,36600,2100500
Acura,ILX,36924,1720100
Acura,ILX,37045,1670950
Acura,ILX,37473,1890700
Acura,ILX,37768,1781550
Acura,ILX,38423,1669000
Acura,ILX,38882,1799550
Acura,ILX,40277,1688100
Acura,ILX,40345,1264550
Acura,ILX,40998,1802500
Acura,ILX,41499,1700300
Acura,ILX,41578,1610950
Acura,ILX,42629,1851000
Acura,ILX,43432,1739300
Acura,ILX,44898,1724150
Acura,ILX,45026,1780000
Acura,ILX,45285,1500300
Acura,ILX,45349,1810250
Acura,ILX,47650,1460000
Acura,ILX,48116,1598250
Acura,ILX,49168,1587800
Acura,ILX,52100,869300
Acura,ILX,53056,1760250
Acura,ILX,58341,1680600
Acura,ILX,58473,1648750
Acura,ILX,58475,1750700
Acura,ILX,71331,1497250
Acura,ILX,71333,1651300
Acura,ILX,74668,1498850
Acura,ILX,106756,1418950
Acura,Integra,102149,28200
Acura,Integra,104039,230850
Acura,Integra,110347,64700
Acura,Integra,113471,104475
Acura,Integra,122632,39150
Acura,Integra,125378,552600
Acura,Integra,133964,300675
Acura,Integra,136495,352300
Acura,Integra,143466,300975
Acura,Integra,144083,59575
Acura,Integra,144608,99550
Acura,Integra,146552,28825
Acura,Integra,148184,139700
Acura,Integra,148883,79750
Acura,Integra,149481,49650
Acura,Integra,149703,109000
Acura,Integra,154615,209875
Acura,Integra,155022,180800
Acura,Integra,159340,39125
Acura,Integra,159347,190575
Acura,Integra,162233,58575
Acura,Integra,162783,139975
Acura,Integra,165695,39375
Acura,Integra,166474,29275
Acura,Integra,167297,181275
Acura,Integra,169601,69700
Acura,Integra,172882,89350
Acura,Integra,174202,104850
Acura,Integra,175197,99900
Acura,Integra,179312,110450
Acura,Integra,196668,44675
Acura,Integra,200636,69800
Acura,Integra,204878,144850
Acura,Integra,206132,24450
Acura,Integra,209849,84600
Acura,Integra,210806,48975
Acura,Integra,213061,125675
Acura,Integra,222438,85100
Acura,Integra,235615,29550
Acura,Integra,253936,39975
Acura,Integra,258565,40150
Acura,Integra,298410,34400
Acura,Integra,340649,60350
Acura,Integra,434901,40150
Acura,Legend,140570,75000
Acura,Legend,153841,180900
Acura,Legend,161871,29850
Acura,Legend,179719,49825
Acura,Legend,187908,54450
Acura,Legend,201669,32025
Acura,Legend,233011,19775
Acura,Legend,272898,50300
Acura,Legend,276026,45150
